threshold,precision,recall,f1,fp,fn
0.3,0.6071428571428571,0.8673469387755102,0.7142857142857143,55,13
0.35,0.6343283582089553,0.8673469387755102,0.7327586206896551,49,13
0.39999999999999997,0.648854961832061,0.8673469387755102,0.74235807860262,46,13
0.44999999999999996,0.6640625,0.8673469387755102,0.7522123893805309,43,13
0.49999999999999994,0.68,0.8673469387755102,0.7623318385650224,40,13
0.5499999999999999,0.7024793388429752,0.8673469387755102,0.776255707762557,36,13
0.5999999999999999,0.7142857142857143,0.8673469387755102,0.783410138248848,34,13
0.6499999999999999,0.7203389830508474,0.8673469387755102,0.7870370370370371,33,13
0.7,0.7391304347826086,0.8673469387755102,0.7981220657276995,30,13
0.7499999999999999,0.7368421052631579,0.8571428571428571,0.7924528301886793,30,14
0.7999999999999998,0.7522935779816514,0.8367346938775511,0.7922705314009661,27,16
